item,adjective,form
q_20001,shaky,A
q_20002,undiscriminating,A
q_20003,terrible,A
q_20004,downtrodden,A
q_20005,trenchant,A
q_20006,accusing,A
q_20007,frightenable,A
q_20008,secretive,A
q_20009,stern,A
q_20010,breezy,A
q_20011,provincial,A
q_20012,self-absorbed,A
q_20013,famous,A
q_20014,self-limiting,A
q_20015,acrid,A
q_20016,stealthy,A
q_20017,philosophizing,A
q_20018,unrepressible,A
q_20019,happy-go-lucky,A
q_20020,pedantic,A
q_20021,teachable,A
q_20022,intricate,A
q_20023,uninhibited,A
q_20024,sportsmanlike,A
q_20025,spiteful,A
q_20026,high-principled,A
q_20027,clownish,A
q_20028,consoling,A
q_20029,apathetic,A
q_20030,inflammatory,A
q_20031,venturous,A
q_20032,consistent,A
q_20034,giddy,A
q_20035,unadventurous,A
q_20036,unconciliatory,A
q_20037,ideological,A
q_20038,self-centered,A
q_20039,tragic,A
q_20040,resourceful,A
q_20041,neglected,A
q_20042,posed,A
q_20043,uncollected,A
q_20044,tempestuous,A
q_20045,crazed,A
q_20046,overbearing,A
q_20047,mild,A
q_20048,inirritable,A
q_20049,overconfident,A
q_20050,hardened,A
q_20051,indocile,A
q_20053,clear-eyed,A
q_20054,resistant,A
q_20055,restive,A
q_20056,skinny,A
q_20057,loyal,A
q_20058,ferocious,A
q_20059,appreciated,A
q_20060,lucid,A
q_20061,unhardy,A
q_20062,hit-or-miss,A
q_20063,haughty,A
q_20064,charming,A
q_20065,quick-tempered,A
q_20066,vainglorious,A
q_20067,compassionate,A
q_20068,hotheaded,A
q_20069,weariless,A
q_20070,uncompanionable,A
q_20071,confusing,A
q_20072,idle,A
q_20073,overlusty,A
q_20074,artless,A
q_20075,companionable,A
q_20076,discouraged,A
q_20077,lenient,A
q_20078,effusive,A
q_20079,homespun,A
q_20080,plain-dealing,A
q_20081,quiet,A
q_20082,loony,A
q_20083,unvaliant,A
q_20084,patient,A
q_20085,methodical,A
q_20086,cheap,A
q_20087,pensive,A
q_20088,gutless,A
q_20089,fanatical,A
q_20090,beautiful,A
q_20091,naughty,A
q_20092,detached,A
q_20093,senile,A
q_20094,sexless,A
q_20095,glib,A
q_20096,felicitous,A
q_20097,reasonable,A
q_20098,unfaltering,A
q_20099,successful,A
q_20100,amicable,A
q_20101,artful,A
q_20102,chivalrous,A
q_20103,equivocating,A
q_20104,frightened,A
q_20105,gauche,A
q_20106,high-minded,A
q_20107,serene,A
q_20108,ill-humored,A
q_20109,bold,A
q_20110,punctual,A
q_20111,handsome,A
q_20112,self-sufficient,A
q_20113,overlogical,A
q_20114,flirtatious,A
q_20115,chubby,A
q_20116,overquiet,A
q_20117,stinging,A
q_20118,forward-looking,A
q_20119,rambling,A
q_20120,nonrational,A
q_20121,excessive,A
q_20122,unamiable,A
q_20123,unsteady,A
q_20124,decorous,A
q_20125,unemotional,A
q_20126,unintellectual,A
q_20127,incongenial,A
q_20128,thankful,A
q_20129,blind,A
q_20130,prissy,A
q_20131,glum,A
q_20132,uncultivated,A
q_20133,realistic,A
q_20134,constrained,A
q_20135,false-hearted,A
q_20136,unhurried,A
q_20137,mercurial,A
q_20138,eclectic,A
q_20139,unphilanthropic,A
q_20140,high-strung,A
q_20141,gleeful,A
q_20142,pandering,A
q_20143,restrained,A
q_20144,inconfinable,A
q_20145,angelic,A
q_20146,fastidious,A
q_20147,unreined,A
q_20148,undignified,A
q_20149,acceptant,A
q_20150,terrific,A
q_20151,imposing,A
q_20152,supportive,A
q_20153,popular,A
q_20154,thick-witted,A
q_20155,frenetic,A
q_20156,cheery,A
q_20157,sage,A
q_20158,unreliable,A
q_20159,fanciful,A
q_20160,proper,A
q_20161,meditative,A
q_20162,traditional,A
q_20163,headlong,A
q_20164,indifferent,A
q_20165,bland,A
q_20166,weak,A
q_20167,uncrafty,A
q_20168,uneconomical,A
q_20169,inexperienced,A
q_20170,megalomaniacal,A
q_20171,dissensualized,A
q_20172,irritating,A
q_20173,modest,A
q_20174,embittered,A
q_20175,shy,A
q_20176,accountable,A
q_20177,furious,A
q_20178,cruel,A
q_20179,underwitted,A
q_20180,terrifying,A
q_20181,clairvoyant,A
q_20182,fretting,A
q_20183,vigilant,A
q_20184,brusque,A
q_20185,gorgeous,A
q_20186,ugly,A
q_20187,bullheaded,A
q_20188,clever,A
q_20189,unbending,A
q_20190,pretty,A
q_20191,bullying,A
q_20192,trim,A
q_20193,bellicose,A
q_20194,scheming,A
q_20195,mystical,A
q_20196,tight,A
q_20197,impish,A
q_20198,overpartial,A
q_20199,undogmatic,A
q_20200,explicit,A
q_20201,constructive,A
q_20202,lifeless,A
q_20203,moralistic,A
q_20204,insolent,A
q_20205,hidebound,A
q_20206,canny,A
q_20207,careful,A
q_20208,self-sacrificing,A
q_20209,perky,A
q_20210,sleazy,A
q_20211,glad,A
q_20212,underogatory,A
q_20213,nice,A
q_20214,strong-willed,A
q_20215,unauthoritative,A
